# Frozen export for the dashboard. Exported 2026-08-05 from the backtest notebook (private), frozen 2026-07-29.
# Columns: QLD_px = rebased total-return index, QLD_ret = daily return, Signal_alloc, Effective_alloc,
#   New_ret = E2 daily strategy return.
# Derived aggregates only (rebased index / rule outputs); no raw research inputs. NEVER regenerated by automation.
# Engine-vs-backtest verification: tests/test_signal_reference.py (exact match on every comparable day).
Period,QLD_px,QLD_ret,Signal_alloc,Effective_alloc,New_ret
2007-11-06,1.7491,0.01644583914458386,1.0,1.0,0.016445839144583863
2007-11-07,1.6672,-0.04682408095592028,1.0,1.0,-0.04682408095592028
2007-11-08,1.5481,-0.07143714011516311,0.5,1.0,-0.07143714011516311
2007-11-09,1.46,-0.05690846844519093,0.5,1.0,-0.05690846844519093
2007-11-12,1.3834,-0.05246575342465754,0.5,0.5,-0.026232876712328768
2007-11-13,1.4954,0.08095995373716947,0.5,0.5,0.04047997686858473
2007-11-14,1.4751,-0.01357496322054297,0.5,0.5,-0.006787481610271484
2007-11-15,1.4473,-0.01884617992000548,0.5,0.5,-0.00942308996000274
2007-11-16,1.4757,0.01962274580252887,0.5,0.5,0.009811372901264437
2007-11-19,1.4381,-0.02547943348919157,0.5,0.5,-0.012739716744595786
2007-11-20,1.4489,0.007509908907586516,0.5,0.5,0.0037549544537932578
2007-11-21,1.4045,-0.03064393677962596,0.5,0.5,-0.015321968389812979
2007-11-23,1.4387,0.02435030259878967,0.5,0.5,0.012175151299394837
2007-11-26,1.4001,-0.02682977688190735,0.5,0.5,-0.013414888440953676
2007-11-27,1.4434,0.03092636240268565,0.5,0.5,0.015463181201342824
2007-11-28,1.53,0.05999722876541491,0.5,0.5,0.029998614382707456
2007-11-29,1.5416,0.007581699346405291,0.5,0.5,0.0037908496732026453
2007-11-30,1.5301,-0.007459782044629049,0.5,0.5,-0.0037298910223145243
2007-12-03,1.5021,-0.01829945755179396,0.5,0.5,-0.009149728775896981
